Mizar,Zeta Ursae Majoris,13.398727722222223,54.92541527777777,121.23,-22.01,A2V,2.23
Spica,Alpha Virginis,13.419890166666667,-10.838754999999999,-42.5,-31.73,B1V,0.98
Epsilon Cen,Epsilon Centauri,13.664797972222223,-52.53363722222222,-14.6,-12.79,B1III,2.29
Alkaid,Eta Ursae Majoris,13.792373916666666,49.31330277777778,-121.23,-15.56,B3V SB,1.85
Agena,Beta Centauri,14.063734611111112,-59.627021666666664,-33.96,-25.06,B1III,0.61
Theta Cen,Theta Centauri,14.111479083333332,-35.631304166666666,-519.29,-517.87,K0IIIb,2.06
Arcturus,Alpha Bootis,14.26120761111111,19.18727,-1093.45,-1999.4,K2IIIp,-0.05
Eta Cen,Eta Centauri,14.591792111111111,-41.84225444444444,-35.31,-32.44,B1Vn + A,2.33
Alpha Cen B,Alpha Centauri B,14.660941888888889,-59.16052861111111,-3600.35,952.11,K1V,1.35
Alpha Cen A,Alpha Centauri A,14.661360694444445,-59.164853055555554,-3678.19,481.84,G2V,-0.01
Alpha Lup,Alpha Lupi,14.698826055555555,-46.61185861111111,-21.15,-24.22,B1.5III,2.3
Izar,Epsilon Bootis,14.749791916666666,27.07417388888889,-50.65,20.0,A0,2.35
Kochab,Beta Ursae Minoris,14.845109833333334,74.15547583333334,-32.29,11.91,K4IIIvar,2.07
Gemma,Alpha Coronae Borealis,15.578108194444445,26.714910277777776,120.38,-89.44,A0V,2.22
Dschuba,Delta Scorpii,16.005558805555555,-21.37837972222222,-8.67,-36.9,B0.2IV,2.29
Antares,Alpha Scorpii,16.49012986111111,-25.568053888888887,-10.16,-23.21,M1Ib + B2.5V,1.06
Atria,Alpha Trianguli Australis,16.811073833333335,-68.972365,17.85,-32.92,K2IIb-IIIa,1.91
Epsilon Sco,Epsilon Scorpii,16.836179166666664,-33.70739027777778,-611.83,-255.87,K2IIIb,2.29
Sabik,Eta Ophiuchi,17.17296177777778,-14.2748525,41.16,97.65,A2.5Va,2.43
Shaula,Lambda Scorpii,17.56014625,-36.896251666666664,-8.9,-29.95,B1.5IV+...,1.62
Rasalhague,Alpha Ophiuchi,17.582223555555554,12.560575833333335,110.08,-222.61,A5III,2.08
Sargas,Thega Scorpii,17.62197938888889,-41.00217833333333,6.06,-0.95,F1II,1.86
Kappa Sco,Kappa Scorpii,17.708133277777776,-38.970079166666665,-6.49,-25.55,B1.5III,2.39
Etamin,Gamma Draconis,17.943438305555556,51.48895111111111,-8.52,-23.05,K5III,2.24
Epsilon Sag,Epsilon Sagittarii,18.40287397222222,-33.61568527777778,-39.61,-124.05,B9.5III,1.79
Vega,Alpha Lyrae,18.615607222222224,38.78299305555556,201.02,287.46,A0Vvar,0.03
Nunki,Sigma Sagittarii,18.921087972222224,-25.70340583333333,13.87,-52.65,B2.5V,2.05
Altair,Alpha Aquillae,19.84630058333333,8.867385,536.82,385.54,A7IV-V,0.76
Sadr,Gamma Cygni,20.370472222222222,40.256681388888886,2.43,-0.93,F8Ib,2.23
Peacock,Alpha Pavonis,20.427458222222224,-55.265119166666665,7.71,-86.15,B2IV,1.94
Deneb,Alpha Cygni,20.6905315,45.28033416666666,1.56,1.55,A2Ia,1.25
Gienah,Epsilon Cygni,20.770120055555555,33.969453333333334,356.16,330.28,K0III,2.48
Alderamin,Alpha Cephei,21.309606000000002,62.58545527777778,149.91,48.27,A7IV-V,2.45
Enif,Epsilon Pegasi,21.73642786111111,9.875007777777778,30.02,1.38,K2Ibvar,2.38
Alpha Gru,Alpha Gruis,22.13718788888889,-45.039384166666665,127.6,-147.91,B7IV,1.73
Beta Gru,Beta Gruis,22.71109302777778,-45.11543416666667,135.68,-4.51,M5III,2.07
Fomalhaut,Alpha Piscis Austrini,22.960784888888888,-28.378163055555554,329.22,-164.22,A3V,1.17
Scheat,Beta Pegasi,23.06287038888889,28.082454722222224,187.76,137.61,M2II-IIIvar,2.44
Markab,Alpha Pegasi,23.079338,15.205367777777777,61.1,-42.56,B9.5III,2.49
